tp_record_share,id_polizza_exp,id_anagrafica_exp,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,tipo_polizza_share,ramo_cmp,rischio_cmp,prodotto_cmp,ramo_share,cod_stato_share,cod_storno_share,cod_storno_cmp,data_annullamento,data_sospensione,effetto,scadenza_originale,scadenza_effettiva,scadenza_emesso,scadenza_incassato,frazionamento_share,durata_share,tacito_rinnovo_share,disdetta_share,giorni_mora,collaboratore_1,collaboratore_2,collaboratore_3,collaboratore_4,tipo_coass,ns_quota,cmp_delegataria,numero_polizza_delegataria,tipo_riparto_share,fl_vincolo,tipo_vincolo_cmp,scadenza_vincolo,codice_vincolo,fl_imposta,cmp_sostituita_1_ania,cmp_sostituita_1_exp,agenzia_sostituita_1,numero_polizza_sostituita_1,cmp_sostituente_ania,cmp_sostituente_exp,agenzia_sostituente,numero_polizza_sostituente,progressivo_sostituente,id_sostituente_exp,tipo_premi,tipo_premi_delega,netto_totale,diritti_totale,accessori_totale,imponibile_totale,antiracket_totale,ssn_totale,tasse_totale,lordo_totale,flag_riparto,canale_commerciale,numero_proposta_cmp,data_emissione,tipo_affare_share,libro_matricola,numero_applicazione_lm,ramo_gestione_cmp,diritti_emissione,diritti_puo,diritti_pur,polizza_lps,tipo_firma,cuc,particolarita_polizza_1,particolarita_polizza_2,filename,data_elaborazione_file,mandato,data_fine_sospensione,flag_POE
20,2014010196470,002920000006541,2014010196470,035,4,242,2014010196470,0,2,1,10,01023,10.0,ST,ST,026,2019-01-16,,2014-03-20,2019-03-20,2019-03-20,2019-03-20,2019-03-20,2,1.0,S,0,15,24210,000,010,000,1,10000,,,1,0,,,,,,,,2013010161414,35.0,4.0,,2019010024452,0,2019010024452,R,Q,175.8,0.0,0.0,175.81,0.0,18.45,46.57,222.38,N,,,2014-03-19,,N,,,0.0,0.0,0.0,,,,,,20_C_4_242_20240301150119_0_P.csv,2024-02-02,1,,
20,2022032474590,000000006411431,2022032474590,035,4,746,2022032474590,0,1,3,316 ,000158,13.0,SO,ST,8,2023-02-02,,2022-01-31,2023-01-31,2023-01-31,2023-01-31,2023-01-31,1,1.0,N,0,30,746,000,000,000,1,10000,,,1,0,,,0.0,S,23,3,746,,35.0,4.0,746,2023032514463,0,2023032514463,R,Q,208.17,16.4,20.82,245.39,2.45,0.0,54.61,300.0,N,,7543243,2022-01-27,,N,,,20.05,0.0,0.0,,,,,,20_C_4_746_20240314152340_0_P.csv,2024-02-06,1,,
20,2022032476869,002280000013459,2022032476869,035,4,567,2022032476869,0,1,3,316 ,000158,13.0,AT,,,,,2022-02-18,2024-02-18,2024-02-18,2024-02-18,2024-02-18,1,1.0,N,0,30,567,000,017,000,1,10000,,,1,0,,,0.0,S,23,3,567,,,,,,0,,R,Q,89.2,8.21,8.92,106.33,1.06,0.0,23.67,130.0,N,,7570967,2022-02-11,S,N,,,10.04,0.0,0.0,,,,,,20_C_4_567_20240314141040_0_P.csv,2024-02-04,1,,
20,2014802182127,001790000002823,2014802182127,035,4,692,2014802182127,0,1,80,80  ,000004,13.0,AT,,,,,2014-04-14,2024-04-14,2024-04-14,2024-04-14,2024-04-14,1,1.0,S,0,30,692,000,000,000,1,10000,,,1,0,,,0.0,S,23,3,692,,,,,,0,,R,Q,256.98,24.4,25.7,307.08,3.07,0.0,65.92,373.0,N,,2299466,2014-04-14,,N,,,29.64,0.0,0.0,,,,,,20_C_4_692_20240314141601_0_P.csv,2024-02-05,1,,
20,2022010498243,007640000017811,2022010498243,035,4,696,2022010498243,0,2,1,20,01023,10.0,SO,ST,026,2023-09-22,,2022-11-28,2023-09-22,2023-09-22,2023-09-22,2023-09-22,1,1.0,S,0,15,696,000,000,000,1,10000,,,1,0,,,,,,,,2022010381268,35.0,4.0,,2023010446732,0,2023010446732,R,Q,397.28,0.0,0.0,397.29,0.59,30.2,89.75,487.04,N,,,2022-11-30,,N,,,0.0,0.0,0.0,,,,,,20_C_4_696_20240314141829_0_P.csv,2024-02-05,1,,
20,2023103607612,000090000031895,2023103607612,035,4,380,2023103607612,0,1,10,101 ,000156,8.0,AT,,,,,2023-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,1,1.0,S,0,30,380,000,031,000,1,10000,,,1,0,,,0.0,S,23,3,380,,,,,,0,,R,Q,356.17,0.0,35.63,391.8,3.92,0.0,87.2,479.0,N,,9063641,2023-12-01,N,N,,,0.0,0.0,0.0,,,,,,20_C_4_380_20240306130029_0_P.csv,2024-02-03,1,,
20,2024032555908,000860000022176,2024032555908,035,4,408,2024032555908,0,1,3,300 ,000157,13.0,AT,,,,,2024-02-12,2025-02-12,2025-02-12,2025-02-12,,1,1.0,S,0,30,408,000,027,000,1,10000,,,1,0,,,0.0,S,23,3,408,,,,,,0,,R,Q,172.52,0.0,17.25,189.77,1.9,0.0,42.23,232.0,N,,9216464,2024-02-12,N,N,,,0.0,0.0,0.0,,,,,,20_C_4_408_20240306131601_0_P.csv,2024-02-03,1,,
20,2009010320893,003160000051631,2009010320893,035,4,122,2009010320893,0,2,1,10,01013,10.0,ST,ST,026,2009-07-16,,2009-07-05,2010-07-05,2010-07-05,2010-07-05,2010-07-05,1,1.0,S,15,15,12203,000,003,000,1,10000,,,1,0,,,,,,,,2009010313045,35.0,4.0,,2009010335918,0,2009010335918,R,Q,578.86,0.0,0.0,578.86,0.0,60.78,133.14,712.0,N,,,2009-07-07,,N,,,0.0,0.0,0.0,,,,,,20_C_4_122_20240301112716_0_P.csv,2024-02-01,1,,
20,2017010744943,006320000000543,2017010744943,035,4,898,2017010744943,37,2,1,20,01023,10.0,ST,NR,Z38,2018-06-12,,2017-12-31,2018-12-31,2018-12-31,2018-12-31,2018-12-31,1,1.0,N,0,15,898,000,000,000,1,10000,,,1,0,,,,,,,,,,,,,0,,R,Q,622.88,0.0,0.0,622.88,2.55,36.49,128.65,751.53,N,,,2017-12-18,,A,49300000000671.0,,0.0,0.0,0.0,,,,,,20_C_4_898_20240314155309_0_P.csv,2024-02-06,1,,
20,2020302100342,007570000039162,2020302100342,035,4,712,2020302100342,0,1,30,406 ,000110,13.0,ST,NR,10,2021-12-24,,2020-12-24,2021-12-24,2021-12-24,2021-12-24,2021-12-24,1,1.0,N,0,15,71217,000,017,000,1,10000,,,1,0,,,0.0,S,,,,,,,,,0,,R,Q,420.2,0.0,42.02,462.22,0.0,0.0,57.78,520.0,N,,6691571,2020-12-19,,N,,,0.0,0.0,0.0,,,,,,20_C_4_712_20240314144632_0_P.csv,2024-02-05,1,,
