tp_record_share,id_polizza_exp,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,tipo_codice_veicolo,codice_veicolo,data_immatricolazione,settore_rca_share,classe_rca_share,uso_rca_share,tipo_targa_share,targa,telaio,marca,modello,tipo_tariffa_rca_share,bonus_malus_universale,bonus_malus_interna,tp_alimentazione_share,cavalli_fiscali,quintali,posti,cilindrata,peso_posti_rim,kw,massimale_cose,massimale_persone,codice_convenzione,valore_veicolo,fl_indicizzazione,indice_base,indice_istat,tariffa_vita,regolaz_premio,dt_pross_regolazione,gg_comunicazione_dati_regolazione,marca_scatola_nera,natanti_numero_motori,natanti_stazza,natanti_lunghezza_fuori_tutto,natanti_velocita_massima,natanti_immatricolazione_estera,natanti_uso_diporto,libro_matricola,numero_applicazione_lm,descrizione_tariffa_vita,data_prossima_qz,tipo_polizza_vita_share,capitale_caso_morte,capitale_iniziale,capitale_rivalutato,data_ultima_rivalutazione,totale_quote,finanziamento,visita_medica,adeguamento_capitale,durata_pag_premi,cumulo_versamenti,cumulo_riscatti,eta_minima,eta_massima,versamento_minimo,versamento_massimo,data_rescindibilita,percentuale_detraibilita,benefici_mutualita,filename,data_elaborazione_file,mandato
21,20004198334,20004198334,035,4,210,20004198334,0,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0.0,0.0,,0.0,N,0.0,0.0,RISERVA REALE,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2017010153775,2017010153775,035,4,210,2017010153775,0,T,000000,1991-01-01,6,60,0,0,BSAE914,,FAI,96DTE,,10,22,DIESEL,0,60,0,0,0,0,6000000.0,6000000.0,0948,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2014010850112,2014010850112,035,4,210,2014010850112,0,C,000000,1999-06-16,4,3,2,0,BC860WE,,IVECO,.,,,,DIESEL,0,100,0,0,0,0,6000000.0,6000000.0,0945,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2017103060529,2017103060529,035,4,210,2017103060529,0,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0.0,0.0,,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,2024-12-31,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,N,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2008102019938,2008102019938,035,4,210,2008102019938,0,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0.0,0.0,,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,2021-07-29,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2016010251038,2016010251038,035,4,210,2016010251038,0,M,003257,2010-04-22,5,31,1,0,DS16285,,KIMKO,MOTOR,,8,20,BENZINA,0,0,0,299,0,0,6000000.0,6000000.0,0948,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2010102294371,2010102294371,035,4,210,2010102294371,0,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0.0,0.0,,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2014010833625,2014010833625,035,4,210,2014010833625,0,A,052966,2003-05-22,1,1,1,0,CH278NG,,TOYOTA,Corolla (01-04),,1,3,BENZINA,16,0,0,0,0,71,6000000.0,6000000.0,0948,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2017010625072,2017010625072,035,4,210,2017010625072,0,A,103411,2015-04-07,1,1,1,0,EZ028BS,,ALFA ROMEO,Giulietta (2010),,1,1,BENZINA,18,0,0,0,0,177,7290000.0,7290000.0,0948,18800.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2010802061734,2010802061734,035,4,210,2010802061734,0,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0.0,0.0,,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
