tp_record_share,id_polizza_exp,id_pol_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,compagnia_ania_coassicuratrice,agenzia_coassicuratrice,quota_delegata,numero_polizza_coassicuratrice,aliquota_netto_acquisto,aliquota_netto_incasso,filename,data_elaborazione_file,mandato
25,2012102475169,2012102475169,035,4,210,2012102475169,0,019,6,2000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210070006005,0210070006005,035,4,210,0210070006005,0,102,120,2500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2009032056140,2009032056140,035,4,210,2009032056140,0,102,120,2500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210070005788,0210070005788,035,4,210,0210070005788,0,023,105,2500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2010102316743,2010102316743,035,4,210,2010102316743,0,003,30,2000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210100080711,0210100080711,035,4,210,0210100080711,0,034,228,2000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2008052015210,2008052015210,035,4,210,2008052015210,0,003,14,2500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210080001249,0210080001249,035,4,210,0210080001249,0,005,162,3000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2015032232566,2015032232566,035,4,210,2015032232566,0,034,7,4000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2014502292182,2014502292182,035,4,210,2014502292182,0,034,50,2000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2010032073342,2010032073342,035,4,210,2010032073342,0,034,20,1500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2010102241040,2010102241040,035,4,210,2010102241040,0,008,200,1500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2013502272063,2013502272063,035,4,210,2013502272063,0,864,69,2000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2013502282223,2013502282223,035,4,210,2013502282223,0,034,50,2000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2010102241040,2010102241040,035,4,210,2010102241040,0,208,6,2500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210030017420,0210030017420,035,4,210,0210030017420,0,034,154,2500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2010102241039,2010102241039,035,4,210,2010102241039,0,008,200,1500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210100079914,0210100079914,035,4,210,0210100079914,0,005,87,3000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210100088014,0210100088014,035,4,210,0210100088014,0,102,120,1500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2010052174187,2010052174187,035,4,210,2010052174187,0,102,4,3000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2013502272063,2013502272063,035,4,210,2013502272063,0,455,58,2000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210030020385,0210030020385,035,4,210,0210030020385,0,034,29,3500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2014102786789,2014102786789,035,4,210,2014102786789,0,X08,998,2000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210030019038,0210030019038,035,4,210,0210030019038,0,034,175,4500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210050019356,0210050019356,035,4,210,0210050019356,0,057,9,3500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2013502248692,2013502248692,035,4,210,2013502248692,0,328,16,4000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210070006005,0210070006005,035,4,210,0210070006005,0,004,49,2500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210030019038,0210030019038,035,4,210,0210030019038,0,102,118,1000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,2015102867472,2015102867472,035,4,210,2015102867472,0,019,8,5000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210030017418,0210030017418,035,4,210,0210030017418,0,034,154,5000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210100085434,0210100085434,035,4,210,0210100085434,0,023,105,1500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210030016544,0210030016544,035,4,210,0210030016544,0,035,153,5000,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
25,0210050019356,0210050019356,035,4,210,0210050019356,0,102,4,1500,0,0,0,25_C_4_210_20240318125508_0_P.csv,2024-03-18,1
