tp_record_share,ke,ki,id_polizza_exp,id_titolo_invio,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,numero_polizza_cmp_delegataria,progressivo,ramo,effetto_titolo,fl_aggiorna_copertura,tipo_titolo_compagnia,tipo_titolo_share,progressivo_titolo,tipo_polizza,frazionamento,stato_share,id_titolo_exp,id_incasso_exp,dt_pag_cliente,numero_foglio_cassa,data_registrazione_fc,data_foglio_cassa,valuta_share,tipo_coass,ns_quota,tipo_premi_delega,netto_totale,diritti_totale,accessori_totale,imponibile_totale,antiracket_totale,ssn_totale,tasse_totale,lordo_totale,provvigioni_totale,provvigioni_acquisto_totale,provvigioni_acquisto_variabile,provvigioni_incasso_totale,collaboratore_1,collaboratore_2,collaboratore_3,collaboratore_4,provv_tot_c2,provv_tot_c3,provv_tot_c4,provv_acq_c2,provv_acq_c3,provv_acq_c4,provv_inc_c2,provv_inc_c3,provv_inc_c4,indicatore_incasso_subagente,fondo_mutua_totale,mezzo_pagamento_cmp,mezzo_pag_share,rischio_cmp,utente_incasso,importo_scatola_nera,id_anagrafica_exp,mandato,filename,data_elaborazione_file,numero_appendice,data_contenzioso
40,030700000455910,,0119010324336,030700000455910,0119010324336,035,4,119,0119010324336,,0,1,2012-03-01,S,Q,QZ,1,2,2,A,030700000455910,,,,,,EUR,1,10000,Q,117.78,0.0,0.0,117.78,0.0,12.37,31.22,149.0,13.79,0.0,0.0,13.79,119,000,021,000,0.0,5.75,0.0,0.0,0.0,0.0,0.0,5.75,0.0,,0.0,,,10,,0.0,003070000058695,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,030700000600593,,0119010325226,030700000600593,0119010325226,035,4,119,0119010325226,,0,1,2014-07-29,S,Q,QZ,1,2,1,P,030700000600593,,2014-07-16,202.0,2014-07-16,2014-07-16,EUR,1,10000,Q,79.67,0.0,0.0,79.67,0.0,8.37,18.33,98.0,7.79,0.0,0.0,7.79,119,000,058,000,0.0,3.89,0.0,0.0,0.0,0.0,0.0,3.89,0.0,CASSA MANUELA,0.0,1,CC,10,,0.0,003070000055173,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,030700000274455,,0119010337997,030700000274455,0119010337997,035,4,119,0119010337997,,0,1,2009-01-17,S,Q,QZ,1,2,2,P,030700000274455,,2009-01-21,14.0,2009-01-21,2009-01-21,EUR,1,10000,Q,292.51,7.75,0.0,300.26,0.6,25.31,72.24,372.5,41.92,0.0,0.0,41.92,119,000,031,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,CC,20,,0.0,003070000057335,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,030700000330519,,0119010341600,030700000330519,0119010341600,035,4,119,0119010341600,,0,1,2010-01-20,S,Q,QZ,1,2,1,P,030700000330519,,2010-01-15,23.0,2010-01-28,2010-01-28,EUR,1,10000,Q,176.43,0.0,0.0,176.43,0.0,18.52,40.57,217.0,20.66,0.0,0.0,20.66,11903,000,003,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASSA,0.0,1,CC,10,,0.0,003070000057779,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,030700000384096,,0119010341600,030700000384096,0119010341600,035,4,119,0119010341600,,0,1,2011-01-20,S,Q,QZ,1,2,1,P,030700000384096,,2011-01-10,7.0,2011-01-12,2011-01-12,EUR,1,10000,Q,180.49,0.0,0.0,180.49,0.0,18.95,41.51,222.0,21.12,0.0,0.0,21.12,11903,000,003,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASSA,0.0,1,CC,10,,0.0,003070000057779,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,030700000366308,,0119010344200,030700000366308,0119010344200,035,4,119,0119010344200,,0,1,2010-09-08,S,Q,QZ,1,2,2,P,030700000366308,,2010-09-15,223.0,2010-09-28,2010-09-28,EUR,1,10000,Q,184.14,0.0,0.0,184.14,0.0,19.34,42.36,226.5,21.56,0.0,0.0,21.56,11906,000,006,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,CC,10,,0.0,003070000054906,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,030700000297763,,0119010346412,030700000297763,0119010346412,035,4,119,0119010346412,,0,1,2009-06-05,S,Q,QZ,1,2,1,P,030700000297763,,2009-06-10,126.0,2009-06-12,2009-06-12,EUR,1,10000,Q,78.04,0.0,0.0,78.04,0.0,8.2,17.96,96.0,9.15,0.0,0.0,9.15,11903,000,003,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,CC,10,,0.0,003070000061278,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,030700000460214,,0119010346721,030700000460214,0119010346721,035,4,119,0119010346721,,0,1,2012-03-29,S,Q,QZ,1,2,2,A,030700000460214,,,,,,EUR,1,10000,Q,196.84,0.0,0.0,196.84,0.0,20.67,52.16,249.0,19.21,0.0,0.0,19.21,11903,000,003,000,0.0,9.61,0.0,0.0,0.0,0.0,0.0,9.61,0.0,,0.0,,,10,,0.0,003070000061278,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,030700000457012,,0119010350923,030700000457012,0119010350923,035,4,119,0119010350923,,0,1,2012-04-07,S,Q,QZ,1,2,1,A,030700000457012,,,,,,EUR,1,10000,Q,456.32,6.0,0.0,462.32,1.09,37.11,115.18,577.5,62.9,0.0,0.0,62.9,11906,000,006,000,0.0,22.69,0.0,0.0,0.0,0.0,0.0,22.69,0.0,,0.0,,,20,,0.0,003070000061234,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000019066238,,0119030010187,000000019066238,0119030010187,035,4,119,0119030010187,,0,3,2020-08-06,N,Q,QZ,1,1,1,P,000000019066238,,2020-07-27,313.0,2020-07-28,2020-07-28,EUR,1,10000,Q,38.5,5.73,5.58,49.81,0.0,0.0,11.09,60.9,13.58,4.85,0.0,8.73,11902,000,062,000,0.0,5.06,0.0,0.0,2.42,0.0,0.0,2.64,0.0,BONIFICO,0.0,4,BB,300,,,000000005142497,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
