tp_record_share,id_titolo_invio,id_titolo_exp,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,ramo,effetto_titolo,stato_share,id_incasso_exp,cod_garanzia_cmp,descrizione_garanzia_cmp,ramo_bil,codice_provv,aliquota,tipo_premi_delega,netto,diritti,accessori,imponibile,antiracket,tasse,lordo,ssn,provvigioni_totali,provvigioni_acquisto,provvigioni_incasso,collaboratore_1,collaboratore_2,collaboratore_3,provv_tot_c2,provv_tot_c3,provv_acq_c2,provv_acq_c3,filename,data_elaborazione_file,mandato
42,015200000144019,015200000144019,035,4,842,2018010408292,0,Responsabilità civile autoveicoli terrestri,2020-07-01,A,,01,RCA,1,,10.5,Q,225.51,0.0,0.0,225.51,0.0,59.76,285.27,23.68,23.07,26.15,-3.08,842,000,000,0.0,0.0,0.0,0.0,42_C_4_842_20240314150744_0_P.csv,2024-02-06,1
42,026900000218712,026900000218712,035,4,263,2023010049529,0,Responsabilità civile autoveicoli terrestri,2024-02-13,P,,IM,INFORTUNI,1,,23.0,Q,13.5,0.0,0.0,13.5,0.0,0.34,13.84,0.0,3.11,3.11,0.0,263,000,000,0.0,0.0,0.0,0.0,42_C_4_263_20240301151952_0_P.csv,2024-02-02,1
42,026900000174035,026900000174035,035,4,263,2018010364162,0,Responsabilità civile autoveicoli terrestri,2020-06-21,A,,1B,PERSONA 360,1,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263,000,000,0.0,0.0,0.0,0.0,42_C_4_263_20240301151952_0_P.csv,2024-02-02,1
42,005510968516601,005510968516601,035,4,254,20005510968,0,Vita,2012-12-31,P,,20,Vita,20,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.86,254,039,000,0.0,0.0,0.0,0.0,42_C_4_254_20240301150457_0_P.csv,2024-02-02,1
42,004290260795200,004290260795200,035,4,376,20004290260,0,Vita,2019-12-18,P,,20,Vita,20,,0.0,Q,98.0,2.0,0.0,100.0,0.0,0.0,100.0,0.0,5.12,0.0,5.12,376,063,000,0.0,0.0,0.0,0.0,42_C_4_376_20240306125256_0_P.csv,2024-02-03,1
42,004412875936400,004412875936400,035,4,750,20004412875,0,Vita,2023-06-13,A,,20,Vita,20,,0.0,Q,299.0,0.0,1.0,300.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,750,069,000,0.0,0.0,0.0,0.0,42_C_4_750_20240314153132_0_P.csv,2024-02-06,1
42,019000000403699,019000000403699,035,4,600,2018010451577,0,Responsabilità civile autoveicoli terrestri,2019-07-20,A,,19,ASSISTENZA IN VIAGGIO,1,,20.0,Q,13.39,0.0,0.0,13.39,0.0,1.34,14.73,0.0,2.68,2.68,0.0,600,000,000,0.0,0.0,0.0,0.0,42_C_4_600_20240314141812_0_P.csv,2024-02-04,1
42,004312437791700,004312437791700,035,4,527,20004312437,0,Vita,2019-11-13,P,,20,Vita,20,,0.0,Q,78.0,0.0,2.0,80.0,0.0,0.0,80.0,0.0,0.78,0.78,0.0,527,088,000,0.0,0.0,0.0,0.0,42_C_4_527_20240314135222_0_P.csv,2024-02-04,1
42,027000000479335,027000000479335,035,4,266,2021010174349,0,Responsabilità civile autoveicoli terrestri,2023-04-06,A,,IP,INFORTUNI,1,,23.0,Q,6.95,0.0,0.0,6.95,0.0,0.17,7.12,0.0,1.6,1.6,0.0,266,000,000,0.0,0.0,0.0,0.0,42_C_4_266_20240301152159_0_P.csv,2024-02-02,1
42,033600000109212,033600000109212,035,4,149,2016010005917,0,Responsabilità civile autoveicoli terrestri,2016-11-14,P,,4B,EVENTI SOCIOPOLITICI,1,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,000,000,0.0,0.0,0.0,0.0,42_C_4_149_20240301111837_0_P.csv,2024-02-01,1
42,000000006105362,000000006105362,035,4,742,2013032159007,0,Responsabilità civile generale,2017-02-28,P,,3,R.C.G.,3,Provv. Ricorrente,0.0,Q,1280.0,31.67,128.0,1439.67,0.0,320.33,1760.0,0.0,342.84,154.88,187.96,742,021,000,0.0,0.0,0.0,0.0,42_C_4_742_20240314151458_0_P.csv,2024-02-06,1
42,034300000540440,034300000540440,035,4,180,2020010416747,0,Responsabilità civile autoveicoli terrestri,2022-08-06,A,,44,MAXI GUASTI,1,,14.0,Q,164.0,0.0,0.0,164.0,1.64,22.14,186.14,0.0,22.96,22.96,0.0,180,000,000,0.0,0.0,0.0,0.0,42_C_4_180_20240301115032_0_P.csv,2024-02-01,1
42,066900000168820,066900000168820,035,4,123,2020010484582,0,Responsabilità civile autoveicoli terrestri,2021-04-04,A,,1A,ASSISTENZA IN VIAGGIO PLUS,1,,20.0,Q,30.6,0.0,0.0,30.6,0.0,3.06,33.66,0.0,6.12,6.12,0.0,123,000,000,0.0,0.0,0.0,0.0,42_C_4_123_20240301113028_0_P.csv,2024-02-01,1
42,002900000411544,002900000411544,035,4,470,2023010419668,0,Responsabilità civile autoveicoli terrestri,2023-08-23,P,,4A,EVENTI NATURALI,1,,14.0,Q,16.49,0.0,0.0,16.49,0.16,2.22,18.71,0.0,2.31,2.31,0.0,470,000,000,0.0,0.0,0.0,0.0,42_C_4_470_20240306133139_0_P.csv,2024-02-04,1
42,013400000385747,013400000385747,035,4,722,2020010030546,0,Responsabilità civile autoveicoli terrestri,2020-01-16,A,,01,RCA,1,,8.0,Q,380.87,0.0,0.0,380.87,0.0,100.93,481.8,39.99,29.74,29.74,0.0,722,000,000,0.0,0.0,0.0,0.0,42_C_4_722_20240314150509_0_P.csv,2024-02-06,1
42,014800000169668,014800000169668,035,4,825,2012010458441,0,Responsabilità civile autoveicoli terrestri,2012-05-21,P,,01,RCA,1,,0.0,Q,532.52,0.0,0.0,532.52,0.0,122.48,655.0,55.91,62.41,0.0,62.41,825,000,000,0.0,0.0,0.0,0.0,42_C_4_825_20240314160856_0_P.csv,2024-02-06,1
42,015600000769344,015600000769344,035,4,854,2019010299021,0,Responsabilità civile autoveicoli terrestri,2021-05-23,P,,42,INCENDIO VEICOLI,1,,18.0,Q,2.58,0.0,0.0,2.58,0.03,0.35,2.93,0.0,0.46,0.46,0.0,854,000,000,0.0,0.0,0.0,0.0,42_C_4_854_20240314151459_0_P.csv,2024-02-06,1
42,000000002678015,000000002678015,035,4,274,2019103217286,0,Incendio,2022-09-04,P,,3,R.C.G.,3,Provv. Ricorrente,0.0,Q,59.46,5.27,5.94,70.67,0.0,15.73,86.4,0.0,20.17,9.16,11.01,274,001,000,0.0,0.0,0.0,0.0,42_C_4_274_20240306124828_0_P.csv,2024-02-02,1
42,019000000481661,019000000481661,035,4,600,2017010243387,0,Responsabilità civile autoveicoli terrestri,2022-04-19,A,,19,ASSISTENZA IN VIAGGIO,1,,20.0,Q,13.39,0.0,0.0,13.39,0.0,1.34,14.73,0.0,2.68,2.68,0.0,600,000,000,0.0,0.0,0.0,0.0,42_C_4_600_20240314141812_0_P.csv,2024-02-04,1
42,066900000045781,066900000045781,035,4,123,2014010387253,0,Responsabilità civile autoveicoli terrestri,2014-05-23,P,,19,ASSISTENZA IN VIAGGIO,1,,20.0,Q,25.0,0.0,0.0,25.0,0.0,2.5,27.5,0.0,5.0,5.0,0.0,123,000,000,0.0,0.0,0.0,0.0,42_C_4_123_20240301113028_0_P.csv,2024-02-01,1
42,000000009467695,000000009467695,035,4,168,2023103613284,0,Incendio,2023-12-31,P,,18,ALTRI DANNI AI BENI,18,Provv. Ricorrente,0.0,Q,28.75,2.85,2.87,34.47,0.0,7.69,42.16,0.0,8.99,3.48,5.51,168,303,000,0.0,0.0,0.0,0.0,42_C_4_168_20240301112638_0_P.csv,2024-02-01,1
42,000000006832999,000000006832999,035,4,210,2013102674711,0,Incendio,2015-01-20,P,,19,ASSISTENZA,19,Provv. Ricorrente,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,026,000,0.0,0.0,0.0,0.0,42_C_4_210_20240318125508_0_P.csv,2024-03-18,1
42,024300000417977,024300000417977,035,4,744,2019010291958,0,Responsabilità civile autoveicoli terrestri,2021-05-23,A,,1B,PERSONA 360,1,,0.0,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744,000,000,0.0,0.0,0.0,0.0,42_C_4_744_20240314152042_0_P.csv,2024-02-06,1
42,003900000794750,003900000794750,035,4,881,2019010394126,0,Responsabilità civile autoveicoli terrestri,2021-07-01,A,,01,RCA,1,,12.5,Q,580.47,0.0,0.0,580.47,0.0,153.82,734.29,60.95,70.84,70.14,0.7,881,000,000,0.0,0.0,0.0,0.0,42_C_4_881_20240314153950_0_P.csv,2024-02-06,1
42,034900000229932,034900000229932,035,4,259,2014010200010,0,Responsabilità civile autoveicoli terrestri,2024-03-20,A,,19,ASSISTENZA IN VIAGGIO,1,,0.0,Q,12.5,0.0,0.0,12.5,0.0,1.25,13.75,0.0,0.0,0.0,0.0,259,000,000,0.0,0.0,0.0,0.0,42_C_4_259_20240301151328_0_P.csv,2024-02-02,1
42,029800000482453,029800000482453,035,4,283,2014010774476,0,Responsabilità civile autoveicoli terrestri,2019-11-20,A,,01,RCA,1,,11.5,Q,157.66,0.0,0.0,157.66,0.0,41.79,199.45,16.56,17.71,17.71,0.0,283,000,000,0.0,0.0,0.0,0.0,42_C_4_283_20240306125247_0_P.csv,2024-02-02,1
42,027400000437173,027400000437173,035,4,207,2012010472637,0,Responsabilità civile autoveicoli terrestri,2015-07-20,P,,01,RCA,1,,10.0,Q,144.43,0.0,0.0,144.43,0.0,33.22,177.65,15.17,14.08,14.08,0.0,207,000,000,0.0,0.0,0.0,0.0,42_C_4_207_20240301121236_0_P.csv,2024-02-01,1
42,000000008758062,000000008758062,035,4,499,2018103121524,0,Incendio,2021-07-30,P,,3,R.C.G.,3,Provv. Ricorrente,0.0,Q,29.6,0.0,2.96,32.56,0.0,4.4,36.96,0.0,6.19,6.19,0.0,499,223,000,0.0,0.0,0.0,0.0,42_C_4_499_20240306133731_0_P.csv,2024-02-04,1
42,076500000072869,076500000072869,035,4,345,2017010568687,0,Responsabilità civile autoveicoli terrestri,2017-09-11,P,,42,INCENDIO VEICOLI,1,,18.0,Q,13.86,0.0,0.0,13.86,0.14,1.87,15.73,0.0,2.49,2.49,0.0,345,000,000,0.0,0.0,0.0,0.0,42_C_4_345_20240306134234_0_P.csv,2024-02-03,1
42,028400000334113,028400000334113,035,4,215,2021010019195,0,Responsabilità civile autoveicoli terrestri,2021-01-31,P,,5E,NUOVA CRISTALLI,1,,14.0,Q,71.5,0.0,0.0,71.5,0.72,9.66,81.16,0.0,10.01,10.01,0.0,215,000,000,0.0,0.0,0.0,0.0,42_C_4_215_20240301120214_0_P.csv,2024-02-01,1
